title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
How To Master 5 Basic Cooking Skills - Gordon Ramsay,ZJy1ajvMU1k,4740740,74011,1129,5257,0
White Privileged Cooking : RAMEN,Ktus0dpv3AM,48127,7560,143,974,0
The Magic Pumpkin Dessert - Cooking in the Forest,-_AczNVx92E,2800,337,13,64,0
Spirit Cooking With The Clintons,xuThm6Vzxxc,2703,215,10,142,0
"Hillary Tied to Bizarre Occult ""Spirit Cooking"" Ritual",qfL5KwUuvMc,427041,16257,353,4268,0
Cooking The Farinata Pancake of Chickpea Flour in a Flaming Oven. Italy Street Food,NDF5AE6HOIA,5576,69,3,5,0
Real Cooking ULTIMATE BAKING Starter Set DIY Fun & Easy Bake Your Own Sprinkles Cupcakes!,aMSGpQND0nU,2395779,10983,1443,1090,0
6 Fun Cooking Tricks,AWjBNSshF3s,4908891,39754,1944,1871,0
"PJ Masks Babies Cooking in the Kitchen Breakfast, Dinner Play-Doh, Spiderman, Paw Patrol, Peppa Pig",wxHGAjflQjM,63998,49,18,14,0
Spirit Cooking - Do Not Feed the Sorcery,AHd1MYGGPnw,2627,181,6,75,0
Trump supporter mentions Spirit Cooking on Fox News!,S3swixE8PZo,18741,1061,9,440,0
6 Amazing Cooking Tricks,af3dEbAd4Os,8510757,60578,1942,2102,0
High Priestess of  Spirit Cooking Claims Not A Satanist,LlMQBYlyb9A,18459,731,20,262,0
COOKING MAMA CHOCOLATE CORNETS - NERDY NUMMIES,JMP8_HioNqU,9885957,67706,2141,9745,0
Chocolate Kulfi Bar | Cooking Classy with Afraz | Sanjeev Kapoor Khazana,8K4a1t89bFI,3560,182,1,11,0
URGENT!!! CELEBRITIES EXPOSED IN BLOOD RITUAL!!! - SPRIT COOKING (MUST WATCH - PLEASE SHARE),LX_xWj5KNSI,2821,246,19,106,0
MARINA ABRAMOVIC SPIRIT COOKING,g9ys-Lfu4Sc,46404,0,0,621,0
Cooking a 40 Pound Shark in My Village - Cooking a Shark in the Traditional Way,Hza0nZF4zMw,351436,1693,564,904,0
Cooking Prawn Head Curry in My Village - Cooking Prawn Curry with 5 Vegetables - Cooking on a Rainy,mfKGi8dvGkY,12486,224,14,56,0
Ultimate Beef Rolls! - Cooking in the Forest,k8s2GJ97AlY,43648,1545,22,327,0
"New Cooking Toy ""Dango Party""",-SIXMXOzhcY,1174411,6083,605,460,0
Caramel Apples - You Suck at Cooking (episode 50),j3DPH3KOiXk,760511,18913,683,1782,0
DEAR SATANIC SCUM! A MESSAGE FOR MARINA ABRAMOVIC! (SPIRIT COOKING EXPOSED!),vXJEiDKKS2g,8689,815,17,667,0
DIY PINATA COMESTIBLE - CARL IS COOKING,o2vqLDYDRaM,5349,331,3,28,0
Cooking a 7 KG Goat in My Village - Cooking Mutton Kulambu Using a Traditional Meat Tenderizer,iyh63Yw2ccc,2324184,5222,2174,1203,0
